acc.date,type,reg,operator,fat,location,dmg,acc.year,acc_type
2019-12-27,Cirrus,N52CV,private,0.0,"Santa Monica Airport, CA (SMO)",sub,2019.0,Non-Fatal
2019-12-27,Fokker,UP-F1007,Bek Air,12.0,near Almaty Airport (ALA),w/o,2019.0,Fatal
2019-12-28,Let,9S-GDX,Air Fast Congo,0.0,Kamina Airport (KMN),sub,2019.0,Non-Fatal
2019-12-29,Cessna,LV-FQD,Sunny Sky,0.0,"6 km from Otamendi, BA",sub,2019.0,Non-Fatal
2018-01-01,Airbus,G-EZII,Easyjet,0.0,80 nm NE of Barcelona Airport (LEBL),non,2018.0,Non-Fatal
2018-01-03,Airbus,G-DBCA,British Airways,0.0,near Verona Villafranca,non,2018.0,Non-Fatal
2018-01-05,Boeing,C-FPRP,Sunwing Airlines,0.0,"Toronto-Pearson International Airport, ON (YYZ)",sub,2018.0,Non-Fatal
2018-01-05,Boeing,C-FDMB,WestJet,0.0,"Toronto–Lester B. Pearson International Airport, Ontario (YYZ)",sub,2018.0,Non-Fatal
2018-01-06,Boeing,9K-AOC,Kuwait Airways,0.0,"New York-John F. Kennedy International Airport, NY (JFK/KJFK)",sub,2018.0,Non-Fatal
2018-01-06,Antonov,YV1944,Unknown,0.0,La Paragua Airport,w/o,2018.0,Non-Fatal
2018-01-09,Embraer,C6-MIC,Pineapple Air,0.0,Governor's Harbour Airport (GHB),sub,2018.0,Non-Fatal
2018-01-10,de Havilland Canada DHC-8-402Q Dash 8,SP-EQG,LOT Polskie Linie Lotnicze,0.0,Warszawa-Frédéric Chopin Airport (WAW/EPWA),sub,2018.0,Non-Fatal
2018-01-10,Gulfstream,RP-C280,Air Taxi PH,0.0,Legazpi-Bicol International Airport (LGP),sub,2018.0,Non-Fatal
2018-01-10,Fairchild,N561UP,Ameriflight,0.0,"Rock Springs-Sweetwater County Airport, WY (RKS)",sub,2018.0,Non-Fatal
2018-01-13,Boeing,TC-CPF,Pegasus Airlines,0.0,Trabzon Airport (TZX),sub,2018.0,Non-Fatal
2018-01-15,Airbus,5A-ONC,Afriqiyah Airways,0.0,Tripoli-Mitiga International Airport (MJI),sub,2018.0,Non-Fatal
2018-01-16,British Aerospace,S2-AAX,Bismillah Airlines,0.0,Jessore Airport (JSR),sub,2018.0,Non-Fatal
2018-01-17,IPTN/CASA CN-235M-100,98-148,Türk Hava Kuvvetleri (Turkish Air Force),3.0,"Hodulluca Mevkii, Yalvaç district",w/o,2018.0,Fatal
2018-01-18,Convair,XA-TRB,Air Tribe,0.0,"Brownsville-South Padre Island International Airport, TX (BRO)",sub,2018.0,Non-Fatal
2018-01-20,Let,UR-VTV,Galeyr Airline,0.0,Mogadishu Aden Adde International Airport (MGQ),sub,2018.0,Non-Fatal
2018-01-20,Embraer,5Y-CEI,"Delegation of the EU to Somalia, lsf AirTraffic Africa",0.0,Mogadishu Aden Adde International Airport (MGQ),unk,2018.0,Non-Fatal
2018-01-25,Gulfstream,5N-BTF,Nestoil,0.0,Abuja-Nnamdi Azikiwe International Airport (ABV/DNAA),sub,2018.0,Non-Fatal
